Episode,Mean Return
0,-4.681040000000002
1,-4.707610000000002
2,-4.54352
3,-4.608220000000002
4,-4.421190000000002
5,-4.151319999999999
6,-4.723390000000001
7,-4.4404200000000005
8,-4.3677
9,-4.6184400000000005
10,-4.40488
11,-4.154200000000001
12,-4.596229999999999
13,-4.00378
14,-4.526180000000002
15,-4.402450000000001
16,-4.072640000000001
17,-4.719409999999999
18,-4.524369999999999
19,-4.709870000000001
20,-4.406300000000001
21,-4.7195100000000005
22,-4.68836
23,-4.125559999999999
24,-4.58518
25,-4.441249999999999
26,-4.594079999999999
27,-4.445720000000001
28,-4.225639999999999
29,-4.560470000000001
30,-4.2745000000000015
31,-4.385559999999999
32,-4.586100000000001
33,-4.49205
34,-4.385559999999999
35,-4.550530000000001
36,-4.690319999999999
37,-4.165010000000001
38,-4.39451
39,-4.69972
40,-4.47249
41,-4.4340600000000014
42,-4.507750000000001
43,-4.385190000000001
44,-4.301360000000002
45,-4.012209999999999
46,-4.673029999999999
47,-4.1097600000000005
48,-4.333010000000001
49,-4.14759
50,-4.283140000000001
51,-3.81557
52,-3.93817
53,-4.025109999999999
54,-3.66928
55,-4.601430000000001
56,-4.45521
57,-4.588349999999999
58,-4.1494100000000005
59,-4.14974
60,-4.202820000000001
61,-4.191000000000001
62,-4.607889999999999
63,-4.59767
64,-4.2445200000000005
65,-4.251849999999998
66,-4.4843600000000015
67,-4.389130000000001
68,-4.2932500000000005
69,-4.291429999999999
70,-4.33258
71,-4.57788
72,-4.2171
73,-4.284149999999999
74,-4.11439
75,-4.39725
76,-4.182209999999999
77,-4.330170000000002
78,-4.096450000000002
79,-4.53651
80,-4.363889999999999
81,-4.18585
82,-3.99454
83,-3.9799700000000007
84,-4.249809999999998
85,-4.234039999999999
86,-4.59321
87,-4.271
88,-4.323110000000001
89,-4.163379999999998
90,-4.094
91,-4.358669999999998
92,-4.345019999999999
93,-3.88131
94,-3.62248
95,-4.059089999999999
96,-4.393900000000001
97,-4.129170000000001
98,-3.80099
99,-4.338590000000002
100,-4.233690000000001
101,-4.3867400000000005
102,-4.184489999999999
103,-4.501060000000002
104,-4.340809999999999
105,-4.13102
106,-4.4784500000000005
107,-4.00477
108,-3.6924300000000008
109,-4.055269999999999
110,-4.222729999999999
111,-4.096980000000001
112,-3.69549
113,-4.450560000000001
114,-4.52028
115,-4.08998
116,-4.401249999999998
117,-4.620379999999999
118,-4.223210000000001
119,-4.158259999999999
120,-4.215159999999999
121,-4.355960000000001
122,-4.351019999999999
123,-4.411709999999999
124,-3.74829
125,-4.09346
126,-4.239629999999999
127,-4.581960000000001
128,-4.501550000000001
129,-4.485549999999998
130,-4.09299
131,-4.083150000000001
132,-4.347650000000001
133,-4.494640000000001
134,-4.307299999999999
135,-4.025370000000001
136,-4.27418
137,-4.307679999999999
138,-4.256860000000001
139,-4.10642
